Id,Nombre,Tipo,Localidad,Provincia,Latitud,Longitud,Altura,Id Interno,Ubicacion,Desde,Hasta
446,Rio Gallegos - EEA Santa Cruz,Nimbus THP,Río Gallegos,Santa Cruz,-51.38,-69.14,20,A872858,"Mahatma Ghandi 1322, CP: 9400",18/03/2015,24/04/2015
231,Rio Tala - EEA San Pedro,Nimbus THP,Rio Tala,Buenos Aires,-33.77,-59.63,29,A872835,"Ruta Provincial 1001, km 10,5 CP: 2944",31/08/2010,23/09/2020
455,Rivadavia - EEA Junin Mendoza,Nimbus THP,Sarmiento,Mendoza,-33.26,-68.5,614,A872937,"Carril Florida s/n, La Libertad, CP:5579",06/01/2017,14/01/2017
506,Rosario de Lerma,Davis,Rosario de Lerma,Salta,-24.99,-65.59,1330,D0056,Unidad Carcelaria N°6,07/01/2016,03/04/2020
622,Rosario del Tala,Omixom,Sin asignar,Entre Rios,-32.33,-59.19,0,91083,Tala,31/03/2017,12/01/2019
249,S.J. Frontera - EEA Concordia,Nimbus THP,San Jaime de la Frontera,Entre Rios,-30.36,-58.32,77,A872803,"Ruta 127, a 2 km de S.J. de la Frontera",15/12/2010,23/09/2020
250,Sachayoj - EEA E Santiago,Nimbus THP,Sachayoj,Santiago del Estero,-26.46,-61.81,197,A872812,-,27/12/2010,23/09/2020
606,San Carlos,Omixom,Sin asignar,Corrientes,-27.68,-56.01,0,92030,Ituzaingo,17/06/2017,12/01/2019
662,San Fernando - EEA Delta,Nimbus THP,Tigre,Buenos Aires,-34.25,-58.61,3,A872802,Arroyo Durazno. 2° Sección de Islas.,08/02/2018,23/09/2020
457,San Francisco de Laishi,Davis,Misión San Francisco de Laishí,Formosa,-26.24,-58.64,71,D0005,Ruta Provincial N° 1 - Km. 47,07/07/2014,16/12/2015
540,San Gustavo,Omixom,Sin asignar,Entre Rios,-30.7,-59.45,0,91015,La Paz,31/03/2017,12/01/2019
499,San Isidro - EEA Bella Vista,Nimbus THP,San Isidro,Corrientes,-29.48,-59.3,39,A872713,--,16/10/2015,14/04/2018
613,San Jaime de la Frontera,Omixom,Sin asignar,Entre Rios,-30.36,-58.23,0,91073,Federacion,31/03/2017,12/01/2019
291,San Jorge - EEA Rafaela,Nimbus THP,San Jorge,Santa Fe,-31.95,-61.83,2,A872863,"Ruta 13, 10 km al S de San Jorge",22/07/2013,23/09/2020
676,San José - EEA La Consulta,Nimbus THP,San Jose,Mendoza,-33.32,-69.16,100,A872941,A definir,27/11/2019,23/09/2020
591,San Lorenzo,Omixom,Sin asignar,Corrientes,-28.17,-58.7,0,92010,Saladas,31/03/2017,02/01/2019
232,San Nicolas(7)- EEA San Pedro,Nimbus THP,San Nicolás,Buenos Aires,-33.36,-60.23,37,A872709,Calle Pringles Nº 1150.CP: 2902 Cuartel IX,07/09/2010,16/05/2019
669,San Nicolás - EEA San Pedro,Nimbus THP,San Nicolás,Buenos Aires,-33.39,-60.2,10,A872948,"Estanislao del Campo s/n, San Nicolás.",03/06/2019,11/12/2019
358,San Pedro - EEA San Pedro,Nimbus THP,San Pedro,Buenos Aires,-33.74,-59.8,26,A872890,"Ruta 9, km 170 CP: 2930",12/07/2012,22/09/2020
637,San Roque,Omixom,Sin asignar,Corrientes,-28.6,-58.73,0,32005,San Roque,31/03/2017,13/01/2019
339,San Sebastian - EEA Santa Cruz,Nimbus THP,San Sebastian,Tierra del Fuego,-52.89,-68.45,19.7999992370605,A872859,Ruta nacional Nº 3,28/03/2012,14/04/2019
412,San Vicente - EEA Cerro Azul,Nimbus THP,San Vicente,Misiones,-26.92,-54.42,534,A872910,"Ruta 14 KM 1025, CP: 3364",24/08/2013,23/09/2020
614,Santa Elena,Omixom,Sin asignar,Entre Rios,-30.99,-59.68,0,91074,La Paz,31/03/2017,12/01/2019
460,Santa Magdalena,Imetos,Santa Magdalena,Salta,-24.52,-64.13,443,2646,Departamento ANTA,12/12/2013,31/12/2018
407,Santa Rosa - EEA Bella Vista,Nimbus THP,Concepción,Corrientes,-28.27,-58.13,82.4000015258789,A872917,Ruta 118,17/07/2013,17/11/2019
456,Santa Rosa - EEA Junin Mendoza,Nimbus THP,Santa Rosa,Mendoza,-33.18,-67.87,563.799987792969,A872936,La Cieneguita Santa Rosa Mendoza CP: 5596,17/08/2017,03/09/2017
376,Santa Sylvina - EEA Sáenz Peña,Nimbus THP,Santa Sylvina,Chaco,-27.85,-61.13,90,A872900,Ruta 5 S/n. CP: 3541. Dto. F J Sta María de Oro,07/12/2012,11/01/2019
369,Santa Victoria Este - EEA Yuto,Nimbus THP,Santa Victoria Este,Salta,-22.27,-62.71,269.600006103516,A872881,,27/01/2012,12/03/2018
467,Sarmiento - Chubut,Davis,Sarmiento,Chubut,-45.61,-69.07,280,D0052,Escuela N° 725 - Sarmiento,01/11/2014,04/04/2020
282,Sarmiento - EEA Chubut,Nimbus THP,Sarmiento,Chubut,-45.6,-69.03,267,A872857,"Ruta Nac. Nº 26 - Chacra Nº 19, CP: 9020",16/09/2011,22/06/2017
615,Sauce,Omixom,Sin asignar,Entre Rios,-32.56,-59.63,0,91075,Nogoyá,31/03/2017,12/01/2019
571,Sauce de Luna,Omixom,Sin asignar,Entre Rios,-31.11,-59.29,0,91051,Federal,31/03/2017,12/01/2019
352,Seclantas - EEA Salta,Nimbus THP,Seclantas,Salta,-25.33,-66.25,2120,A872878,"Cornejo s/nº CP: 4419, Departamento Molinos.",14/03/2012,23/09/2020
532,Segui,Omixom,Sin asignar,Entre Rios,-31.96,-60.13,0,91007,Parana,31/03/2017,12/01/2019
633,Segundo Cuartel,Omixom,Sin asignar,Entre Rios,-32.38,-59.12,0,91098,Tala,31/03/2017,11/01/2019
624,Sexto Distrito,Omixom,Sin asignar,Entre Rios,-32.85,-59.62,0,91085,Gualeguay,31/03/2017,12/01/2019
587,Sociedad Rural Sauce,Omixom,Sin asignar,Corrientes,-30.1,-58.79,0,92001,Sauce,31/03/2017,01/01/2019
421,Sombrerito - EEA Corrientes,Nimbus THP,El Sombrerito,Corrientes,-27.65,-58.77,78.5999984741211,A872916,"RN12, Km. 1008, CP: 3400",16/12/2013,23/09/2020
494,Sta Victoria O -EEA Abra Pampa,Nimbus THP,Santa Victoria Oeste,Salta,-22.25,-64.96,2367,A872924,Avda. 24 de Septiembre s/n - Santa Victoria Oeste,01/07/2015,09/10/2018
533,Strobel,Omixom,Sin asignar,Entre Rios,-32.05,-60.6,0,91012,Diamante,31/03/2017,12/01/2019
448,Stroeder -EEA Hilario Ascasubi,Nimbus THP,Stroeder,Buenos Aires,-40.18,-62.61,21,A872842,A 1 km de RN 3 km 900 (por camino vecinal),30/11/2015,23/09/2020
392,Sumalao - EEA Catamarca,Nimbus THP,Sumalao,Catamarca,-28.47,-65.73,527,A872884,"Ruta Prov. n° 33 km 4, CP:4705",09/11/2012,24/04/2019
610,Tacuara,Omixom,Sin asignar,Entre Rios,-30.56,-59.52,0,91070,La Paz,31/03/2017,25/12/2018
466,Telsen - Chubut,Davis,Telsen,Chubut,-42.43,-66.89,347,D0053,Telsen - Escuela N° 95,30/10/2014,05/03/2020
